,,,,,momentArm,momentArm
,,,,,mean,std
region,condition,position,load,plane,,
ss1,split25_lower,ABER,0N,SP,16.714259624728466,9.44797734337024
ss1,split25_lower,ABER,0N,TP,20.36682833787379,8.678356832657562
ss1,split25_lower,ABER,20N,SP,17.363988412174766,8.830008809281482
ss1,split25_lower,ABER,20N,TP,18.26537726327569,9.56772000280586
ss1,split25_lower,ABER,40N,SP,15.933401017741993,10.511563306519916
ss1,split25_lower,ABER,40N,TP,17.744864169360348,11.55310117798556
ss1,split25_lower,APP,0N,SP,18.7903647143314,8.833363315957175
ss1,split25_lower,APP,0N,TP,19.23865772341135,7.320282185627068
ss1,split25_lower,APP,20N,SP,18.564716430716434,10.59223798933667
ss1,split25_lower,APP,20N,TP,18.665551706505035,13.558619996998212
ss1,split25_lower,APP,40N,SP,18.238633896917296,9.216435619365479
ss1,split25_lower,APP,40N,TP,18.880333749197664,11.949833381557795
ss1,split25_lower,abd0,0N,SP,14.139010975959112,11.335137155525084
ss1,split25_lower,abd0,0N,TP,23.693855724749326,7.323391560532038
ss1,split25_lower,abd0,20N,SP,14.069914079813339,12.469832498157563
ss1,split25_lower,abd0,20N,TP,23.916262573128698,6.887054540770975
ss1,split25_lower,abd0,40N,SP,12.057427203914287,11.766823897633573
ss1,split25_lower,abd0,40N,TP,23.557679592102232,6.407728255036868
ss1,split25_lower,abd90,0N,SP,8.434401778702512,13.564021654010753
ss1,split25_lower,abd90,0N,TP,23.207388411374367,7.919573129995336
ss1,split25_lower,abd90,20N,SP,8.374888696118887,13.497815514737646
ss1,split25_lower,abd90,20N,TP,22.351592389178492,10.093821702967487
ss1,split25_lower,abd90,40N,SP,7.241901855248543,13.187934861008394
ss1,split25_lower,abd90,40N,TP,24.557001035717747,6.80620175501593
ss1,split25_upper,ABER,0N,SP,17.777830351524443,8.134967858282529
ss1,split25_upper,ABER,0N,TP,12.070963086341319,12.106113620008387
ss1,split25_upper,ABER,20N,SP,19.043844915021353,10.891671463210592
ss1,split25_upper,ABER,20N,TP,16.310787951016657,10.93824703813694
ss1,split25_upper,ABER,40N,SP,17.146600364966197,9.986380438302172
ss1,split25_upper,ABER,40N,TP,16.005388748447142,12.200470671162343
ss1,split25_upper,APP,0N,SP,16.240082144292852,9.733716936737245
ss1,split25_upper,APP,0N,TP,21.351317200385086,8.002667245768645
ss1,split25_upper,APP,20N,SP,16.378389745146112,9.24623335827893
ss1,split25_upper,APP,20N,TP,21.78488863729449,10.371582355804914
ss1,split25_upper,APP,40N,SP,16.98641234611114,9.596450337665374
ss1,split25_upper,APP,40N,TP,20.12270914152103,11.253009921255083
ss1,split25_upper,abd0,0N,SP,8.587515083731628,18.63939324171866
ss1,split25_upper,abd0,0N,TP,20.44555988704608,14.14948073443548
ss1,split25_upper,abd0,20N,SP,6.981471981478842,18.131924614389266
ss1,split25_upper,abd0,20N,TP,22.574179230830836,11.148539282731775
ss1,split25_upper,abd0,40N,SP,11.733761966871828,13.536657885993934
ss1,split25_upper,abd0,40N,TP,23.262237234297412,10.000242481163298
ss1,split25_upper,abd90,0N,SP,6.64468151358651,10.092550488583294
ss1,split25_upper,abd90,0N,TP,22.554136422552084,8.628662553639899
ss1,split25_upper,abd90,20N,SP,3.758614782093691,11.356779465521553
ss1,split25_upper,abd90,20N,TP,24.01087250409193,8.681309520661523
ss1,split25_upper,abd90,40N,SP,3.7580459861181232,11.31156022971302
ss1,split25_upper,abd90,40N,TP,23.660473612453632,9.305703528177737
ss1,split50,ABER,0N,SP,21.90642280220419,7.28192977157275
ss1,split50,ABER,0N,TP,16.618071283720447,8.969871198472442
ss1,split50,ABER,20N,SP,21.56849897468887,7.400272832589572
ss1,split50,ABER,20N,TP,17.392016656712293,8.966135548165324
ss1,split50,ABER,40N,SP,22.373502480473572,7.053461835013465
ss1,split50,ABER,40N,TP,17.621341410232528,11.97194651705833
ss1,split50,APP,0N,SP,21.40028327480369,5.76062943119776
ss1,split50,APP,0N,TP,21.882389378260932,9.391625654912938
ss1,split50,APP,20N,SP,20.01394092471235,4.750773813481794
ss1,split50,APP,20N,TP,24.840968676716344,3.8873440923318103
ss1,split50,APP,40N,SP,22.00105497811399,5.4060229420903045
ss1,split50,APP,40N,TP,21.25132393542734,9.15063906093508
ss1,split50,abd0,0N,SP,7.964689873513746,13.29134365135412
ss1,split50,abd0,0N,TP,21.07328003751282,8.058657124885261
ss1,split50,abd0,20N,SP,8.299020578836561,13.693033774903467
ss1,split50,abd0,20N,TP,21.942757851607052,5.1354137825208275
ss1,split50,abd0,40N,SP,7.909260418719762,13.357721433724501
ss1,split50,abd0,40N,TP,21.326652255273657,7.5107108352337955
ss1,split50,abd90,0N,SP,10.522810571639964,17.173003730797372
ss1,split50,abd90,0N,TP,22.856707869802403,6.523047037741611
ss1,split50,abd90,20N,SP,9.893027735849705,17.742432526569335
ss1,split50,abd90,20N,TP,21.167508894728314,8.436775001513713
ss1,split50,abd90,40N,SP,10.277275833526248,16.89562443130366
ss1,split50,abd90,40N,TP,22.826469085341202,7.006082419019001
ss2,split25_lower,ABER,0N,SP,18.277451375536984,5.874889055157852
ss2,split25_lower,ABER,0N,TP,21.070346256680402,7.9725710881523355
ss2,split25_lower,ABER,20N,SP,18.432428156387346,6.716613423751431
ss2,split25_lower,ABER,20N,TP,21.758928766289316,8.276647441831559
ss2,split25_lower,ABER,40N,SP,17.6643593705654,6.039066422874111
ss2,split25_lower,ABER,40N,TP,21.43246714382202,8.894661623562238
ss2,split25_lower,APP,0N,SP,20.065300859300226,8.364010351458976
ss2,split25_lower,APP,0N,TP,22.694622052289844,7.205394042708793
ss2,split25_lower,APP,20N,SP,15.44685137760214,13.63399820120477
ss2,split25_lower,APP,20N,TP,24.351405982487613,7.347574923131605
ss2,split25_lower,APP,40N,SP,18.953672151610434,6.858045345289209
ss2,split25_lower,APP,40N,TP,23.29451073456893,8.431056358167368
ss2,split25_lower,abd0,0N,SP,9.37612903550363,7.543629324761197
ss2,split25_lower,abd0,0N,TP,23.485844564063054,10.20202359885415
ss2,split25_lower,abd0,20N,SP,9.541764000267655,9.195190116613649
ss2,split25_lower,abd0,20N,TP,23.7346172238519,9.243073938451893
ss2,split25_lower,abd0,40N,SP,8.851941549595487,9.69734541692873
ss2,split25_lower,abd0,40N,TP,24.0205371008013,9.107031942889488
ss2,split25_lower,abd90,0N,SP,7.865133625272678,10.965091022436345
ss2,split25_lower,abd90,0N,TP,25.47229234368247,7.779669400156823
ss2,split25_lower,abd90,20N,SP,8.221540417453005,11.087866048745873
ss2,split25_lower,abd90,20N,TP,26.01191364943699,7.610634366155606
ss2,split25_lower,abd90,40N,SP,7.259926135173923,10.718715940443612
ss2,split25_lower,abd90,40N,TP,25.793623314997994,7.293770861904152
ss2,split25_upper,ABER,0N,SP,19.206034138358326,7.472642119035454
ss2,split25_upper,ABER,0N,TP,18.984030553418158,10.149454714261637
ss2,split25_upper,ABER,20N,SP,18.069101407835902,10.092653675800847
ss2,split25_upper,ABER,20N,TP,18.869882376585306,9.087506105682081
ss2,split25_upper,ABER,40N,SP,14.014375097346683,14.884046194136046
ss2,split25_upper,ABER,40N,TP,19.41661670171873,11.75869564063763
ss2,split25_upper,APP,0N,SP,14.071942512340872,9.051043502390774
ss2,split25_upper,APP,0N,TP,21.843015165926925,10.610513201998774
ss2,split25_upper,APP,20N,SP,12.661985142776441,8.7854728604308
ss2,split25_upper,APP,20N,TP,24.129661100805087,11.915171421308042
ss2,split25_upper,APP,40N,SP,12.408187534299655,10.728786703214617
ss2,split25_upper,APP,40N,TP,24.130562838713182,10.816721483784718
ss2,split25_upper,abd0,0N,SP,-2.3672709483287098,18.389074189835235
ss2,split25_upper,abd0,0N,TP,22.769135430253698,7.24112730454655
ss2,split25_upper,abd0,20N,SP,-3.563997491950879,18.43789437009441
ss2,split25_upper,abd0,20N,TP,17.808500898404375,8.450116663552539
ss2,split25_upper,abd0,40N,SP,-4.975508601094379,18.32529508626929
ss2,split25_upper,abd0,40N,TP,18.017928247699224,10.428466746972639
ss2,split25_upper,abd90,0N,SP,2.4995397535565442,12.220646260198182
ss2,split25_upper,abd90,0N,TP,25.257457660807447,9.315290671090187
ss2,split25_upper,abd90,20N,SP,-2.2898140110057996,16.898197567436497
ss2,split25_upper,abd90,20N,TP,22.672596170929715,11.132817285854824
ss2,split25_upper,abd90,40N,SP,0.11367628806223262,19.950779043205916
ss2,split25_upper,abd90,40N,TP,22.825449455544124,13.286011911170707
ss2,split50,ABER,0N,SP,20.072491594357786,6.617579951879465
ss2,split50,ABER,0N,TP,20.585439043128737,6.564553902811841
ss2,split50,ABER,20N,SP,20.597933518403586,7.739996846916962
ss2,split50,ABER,20N,TP,18.529509198296218,12.75378503702439
ss2,split50,ABER,40N,SP,20.17291313476774,6.8476870552072375
ss2,split50,ABER,40N,TP,19.375429794982267,8.135696445743923
ss2,split50,APP,0N,SP,18.493851591817553,5.48765369143603
ss2,split50,APP,0N,TP,23.922543184560553,7.140175760995861
ss2,split50,APP,20N,SP,17.853825665436837,4.875441361125191
ss2,split50,APP,20N,TP,23.733878392579854,7.870167851215489
ss2,split50,APP,40N,SP,19.40934577113345,5.5422712207560405
ss2,split50,APP,40N,TP,21.645685851987928,7.513373436093586
ss2,split50,abd0,0N,SP,5.371533584507244,10.905418306826885
ss2,split50,abd0,0N,TP,22.829195103405702,8.824432202164454
ss2,split50,abd0,20N,SP,4.392041679539309,11.431914179111189
ss2,split50,abd0,20N,TP,23.221586031575477,7.779299739288425
ss2,split50,abd0,40N,SP,3.870418105714499,11.728149802398505
ss2,split50,abd0,40N,TP,23.19094445639079,9.684238160649052
ss2,split50,abd90,0N,SP,8.390820034802948,15.457352175625518
ss2,split50,abd90,0N,TP,22.52310604958212,6.353923956225302
ss2,split50,abd90,20N,SP,7.575349672773342,15.419241106314752
ss2,split50,abd90,20N,TP,22.515964905983033,6.919812581612144
ss2,split50,abd90,40N,SP,7.971328442809718,14.824508025782334
ss2,split50,abd90,40N,TP,21.994439897409045,7.084360583125041
ss3,split25_lower,ABER,0N,SP,17.60382369524979,5.597800322519131
ss3,split25_lower,ABER,0N,TP,13.671187265067516,11.786694034890328
ss3,split25_lower,ABER,20N,SP,17.037771071628903,7.181638902471573
ss3,split25_lower,ABER,20N,TP,18.32468363977423,8.863767628211184
ss3,split25_lower,ABER,40N,SP,15.845432092835413,8.658820484502753
ss3,split25_lower,ABER,40N,TP,19.611273103302754,8.445623903137689
ss3,split25_lower,APP,0N,SP,17.028628618304072,8.399846444730882
ss3,split25_lower,APP,0N,TP,17.215064597971747,7.902344571592048
ss3,split25_lower,APP,20N,SP,16.18699722343206,7.750823161072426
ss3,split25_lower,APP,20N,TP,18.913307191680826,7.5109868181295845
ss3,split25_lower,APP,40N,SP,15.709434076171394,7.949216027090912
ss3,split25_lower,APP,40N,TP,20.901974836619765,7.688361982566433
ss3,split25_lower,abd0,0N,SP,1.4122545328637766,9.800168475810356
ss3,split25_lower,abd0,0N,TP,21.06960725079128,7.301545135237467
ss3,split25_lower,abd0,20N,SP,-0.6242143427509248,10.407686909917008
ss3,split25_lower,abd0,20N,TP,21.48020696615339,9.100990833974285
ss3,split25_lower,abd0,40N,SP,-1.263097651386881,11.234849714118479
ss3,split25_lower,abd0,40N,TP,21.724523586015117,7.697494035773525
ss3,split25_lower,abd90,0N,SP,-0.9121252485991398,15.871573188516402
ss3,split25_lower,abd90,0N,TP,23.02500418557344,7.231378550758942
ss3,split25_lower,abd90,20N,SP,1.9859018075710413,15.097133900713196
ss3,split25_lower,abd90,20N,TP,23.246218253998656,6.884052675191005
ss3,split25_lower,abd90,40N,SP,2.2925727444497923,14.474614598969538
ss3,split25_lower,abd90,40N,TP,22.235713665230517,8.205401144727151
ss3,split25_upper,ABER,0N,SP,17.50171219049158,5.294205413251371
ss3,split25_upper,ABER,0N,TP,15.179231934831062,12.039575442655522
ss3,split25_upper,ABER,20N,SP,16.96331675111971,5.746139730191463
ss3,split25_upper,ABER,20N,TP,15.95618481529581,11.991335576640491
ss3,split25_upper,ABER,40N,SP,15.020093235829034,6.817781204276775
ss3,split25_upper,ABER,40N,TP,15.137724087886026,12.489694469098891
ss3,split25_upper,APP,0N,SP,12.079803514022567,7.359233272023289
ss3,split25_upper,APP,0N,TP,19.677533309647327,6.211352051082107
ss3,split25_upper,APP,20N,SP,11.725906704573655,6.860386441558297
ss3,split25_upper,APP,20N,TP,20.631030843812873,6.69017921113082
ss3,split25_upper,APP,40N,SP,11.009147680148429,7.421414308471864
ss3,split25_upper,APP,40N,TP,19.97342931696986,6.67638915375737
ss3,split25_upper,abd0,0N,SP,-0.2870640108828857,12.007993133467554
ss3,split25_upper,abd0,0N,TP,20.53190636734775,7.663470273724739
ss3,split25_upper,abd0,20N,SP,0.0424019342306754,11.367985566269642
ss3,split25_upper,abd0,20N,TP,19.127944668294926,8.727713645373925
ss3,split25_upper,abd0,40N,SP,-0.6889974850314244,11.735489375211612
ss3,split25_upper,abd0,40N,TP,19.23207973094682,9.491755001723664
ss3,split25_upper,abd90,0N,SP,0.5361197417136334,13.544355336639084
ss3,split25_upper,abd90,0N,TP,19.46493099938762,8.93073770882157
ss3,split25_upper,abd90,20N,SP,-0.2373658449630689,14.60713251689343
ss3,split25_upper,abd90,20N,TP,19.166053832880927,9.660223198577777
ss3,split25_upper,abd90,40N,SP,0.13597814170224787,15.85195764858569
ss3,split25_upper,abd90,40N,TP,18.160339399741183,9.658806111373645
ss3,split50,ABER,0N,SP,16.770200345301554,3.480639901700061
ss3,split50,ABER,0N,TP,18.648687427308342,7.695841738705328
ss3,split50,ABER,20N,SP,17.35137284713543,3.2659811357361477
ss3,split50,ABER,20N,TP,19.433831470797976,6.9967964298660235
ss3,split50,ABER,40N,SP,15.921871729246902,3.4521308979977774
ss3,split50,ABER,40N,TP,17.512626847327375,6.46841834986
ss3,split50,APP,0N,SP,12.593248243522027,5.866553422320747
ss3,split50,APP,0N,TP,20.596005784475402,6.25416952223103
ss3,split50,APP,20N,SP,10.679625236348073,6.028793626498319
ss3,split50,APP,20N,TP,18.99369241855439,8.140819130070158
ss3,split50,APP,40N,SP,10.60807771434478,6.424114301580192
ss3,split50,APP,40N,TP,20.742368677385436,5.435662102367722
ss3,split50,abd0,0N,SP,-2.9179492588369977,10.604866112889772
ss3,split50,abd0,0N,TP,18.749779738702728,6.387863698710118
ss3,split50,abd0,20N,SP,-6.752157570908728,14.703958131948104
ss3,split50,abd0,20N,TP,15.631326308152767,6.831146525992371
ss3,split50,abd0,40N,SP,-7.114588882548693,15.475378352846976
ss3,split50,abd0,40N,TP,14.586129120345326,7.004135715386435
ss3,split50,abd90,0N,SP,0.1661949863430907,17.089157208059436
ss3,split50,abd90,0N,TP,17.511562483802088,6.54206562095338
ss3,split50,abd90,20N,SP,-1.2734013008284926,18.34116666012229
ss3,split50,abd90,20N,TP,18.204496553544903,6.293195956497074
ss3,split50,abd90,40N,SP,-1.4167838681796256,18.34572673542922
ss3,split50,abd90,40N,TP,17.14995078740275,6.179827150038367
ss4,split25_lower,ABER,0N,SP,7.786280382989933,10.4609047670566
ss4,split25_lower,ABER,0N,TP,19.14773992054243,11.613706168701498
ss4,split25_lower,ABER,20N,SP,3.613587047882552,12.93425776258972
ss4,split25_lower,ABER,20N,TP,19.364200356727736,9.39919344867004
ss4,split25_lower,ABER,40N,SP,4.230309755428775,13.244923227866185
ss4,split25_lower,ABER,40N,TP,22.256504471938143,7.0127029109526955
ss4,split25_lower,APP,0N,SP,3.3941782697950056,10.203971678631794
ss4,split25_lower,APP,0N,TP,22.816041081959124,7.081780902654312
ss4,split25_lower,APP,20N,SP,2.317095235018096,9.995755041312787
ss4,split25_lower,APP,20N,TP,22.552058987278038,6.7183785812415975
ss4,split25_lower,APP,40N,SP,2.4597362378716534,10.513321465099565
ss4,split25_lower,APP,40N,TP,22.505186395818914,5.585664650103472
ss4,split25_lower,abd0,0N,SP,-7.059580424432461,4.486577875101266
ss4,split25_lower,abd0,0N,TP,16.722608293501843,9.735442169337992
ss4,split25_lower,abd0,20N,SP,-7.957936916114126,2.8073595583843036
ss4,split25_lower,abd0,20N,TP,16.04917345801349,9.15878438051521
ss4,split25_lower,abd0,40N,SP,-8.324935188164467,3.031879009842712
ss4,split25_lower,abd0,40N,TP,15.87915618879238,9.274054503894329
ss4,split25_lower,abd90,0N,SP,-4.563059804306372,11.617135818642694
ss4,split25_lower,abd90,0N,TP,17.45718278716228,10.14840689017374
ss4,split25_lower,abd90,20N,SP,-5.233389957374259,11.474416773805105
ss4,split25_lower,abd90,20N,TP,17.090956238675957,8.81641516381318
ss4,split25_lower,abd90,40N,SP,-5.269005076196709,11.58902522956045
ss4,split25_lower,abd90,40N,TP,14.031811913724841,8.85811447973594
ss4,split25_upper,ABER,0N,SP,8.394773380579984,4.980862359024358
ss4,split25_upper,ABER,0N,TP,19.472284515182658,9.914602941230998
ss4,split25_upper,ABER,20N,SP,7.238727615706525,5.810390585154974
ss4,split25_upper,ABER,20N,TP,19.43130470067646,8.853735821542061
ss4,split25_upper,ABER,40N,SP,4.575872984522521,6.882779272736179
ss4,split25_upper,ABER,40N,TP,17.467726407874274,8.584160896179137
ss4,split25_upper,APP,0N,SP,1.1356101776939087,5.149287828975465
ss4,split25_upper,APP,0N,TP,22.200821907570916,7.190559984064589
ss4,split25_upper,APP,20N,SP,0.29547498145309453,5.309514588886923
ss4,split25_upper,APP,20N,TP,22.26389599761622,6.607639086759418
ss4,split25_upper,APP,40N,SP,-1.1164063848355807,5.9363515249226575
ss4,split25_upper,APP,40N,TP,21.283193834154456,6.5929531136615624
ss4,split25_upper,abd0,0N,SP,-5.465487981346085,7.440983784703051
ss4,split25_upper,abd0,0N,TP,17.977496496659967,8.243111637715446
ss4,split25_upper,abd0,20N,SP,-6.045942455695564,6.13253036704344
ss4,split25_upper,abd0,20N,TP,15.056567484578487,8.783968842902953
ss4,split25_upper,abd0,40N,SP,-9.488984131751634,3.3411718038945866
ss4,split25_upper,abd0,40N,TP,15.096791357270174,9.64148065915023
ss4,split25_upper,abd90,0N,SP,-7.370820756610226,11.21517192042179
ss4,split25_upper,abd90,0N,TP,21.036760293861292,9.700659482576434
ss4,split25_upper,abd90,20N,SP,-7.441889267843066,9.675821132183962
ss4,split25_upper,abd90,20N,TP,18.322145655852168,7.95613996513431
ss4,split25_upper,abd90,40N,SP,-7.877220370619743,9.732306454523409
ss4,split25_upper,abd90,40N,TP,16.218241991776658,7.59234840152355
ss4,split50,ABER,0N,SP,9.515079398268618,5.9064001373716035
ss4,split50,ABER,0N,TP,23.888128117064696,5.474106715616598
ss4,split50,ABER,20N,SP,10.022172584013576,4.870610643302864
ss4,split50,ABER,20N,TP,24.32267260201195,4.600970106023548
ss4,split50,ABER,40N,SP,8.55248484458311,4.941245974602363
ss4,split50,ABER,40N,TP,22.828750412602403,4.800260126146894
ss4,split50,APP,0N,SP,3.8095538584683952,7.366110045803396
ss4,split50,APP,0N,TP,24.671643439622322,4.020953251463892
ss4,split50,APP,20N,SP,3.4256420119874122,7.840498982138751
ss4,split50,APP,20N,TP,23.73470930620109,4.551926971465911
ss4,split50,APP,40N,SP,1.4104454226492646,6.779142071865095
ss4,split50,APP,40N,TP,23.583346486757186,4.9212656643990735
ss4,split50,abd0,0N,SP,-10.076443752174441,6.606341679328325
ss4,split50,abd0,0N,TP,17.858322661511572,6.891060124377606
ss4,split50,abd0,20N,SP,-11.090315961496813,4.467309239186661
ss4,split50,abd0,20N,TP,15.362731362314287,8.03356821596905
ss4,split50,abd0,40N,SP,-12.3010538075153,5.102254098261968
ss4,split50,abd0,40N,TP,14.002327329460385,8.00376758013276
ss4,split50,abd90,0N,SP,-5.306240850932775,10.342538358915375
ss4,split50,abd90,0N,TP,18.86583204103116,8.110815933752312
ss4,split50,abd90,20N,SP,-5.883228720917258,11.067835788592006
ss4,split50,abd90,20N,TP,17.95593430927881,7.625922729517128
ss4,split50,abd90,40N,SP,-6.2426343103300965,11.751349767760354
ss4,split50,abd90,40N,TP,16.86564008679319,7.433737133469853
